,date_eod,ticker,open,close,high,close.1,volume
2829,2012-11-02,SAMPLE,38.14,36.27,38.36,36.27,10141054
2830,2012-11-05,SAMPLE,36.16,37.13,37.54,37.13,5232025
2831,2012-11-06,SAMPLE,37.4,38.06,38.3,38.06,6625175
2832,2012-11-07,SAMPLE,36.53,36.3868,37.1216,36.3868,8762996
2833,2012-11-08,SAMPLE,36.51,35.26,36.789,35.26,7023175
2834,2012-11-09,SAMPLE,35.06,36.44,37.92,36.44,11549653
2835,2012-11-12,SAMPLE,36.82,36.3,36.92,36.3,4055929
2836,2012-11-13,SAMPLE,35.84,35.9,36.44,35.9,5274781
2837,2012-11-14,SAMPLE,36.61,35.26,36.61,35.26,6218967
2838,2012-11-15,SAMPLE,35.26,35.25,36.59,35.25,6277634
2839,2012-11-16,SAMPLE,35.39,35.33,35.59,35.33,5381036
2840,2012-11-19,SAMPLE,36.6,35.29,36.92,35.29,10306947
2841,2012-11-20,SAMPLE,33.15,30.48,33.3,30.48,21850737
2842,2012-11-21,SAMPLE,30.16,30.95,31.4,30.95,8077417
2843,2012-11-23,SAMPLE,31.4,31.23,31.6,31.23,3587005
2844,2012-11-26,SAMPLE,31.32,30.695,31.43,30.695,5887792
2845,2012-11-27,SAMPLE,30.51,30.01,30.88,30.01,5500047
2846,2012-11-28,SAMPLE,29.62,29.61,29.78,29.61,9826103
2847,2012-11-29,SAMPLE,30.0,28.89,30.36,28.89,7692574
2848,2012-11-30,SAMPLE,28.9,28.75,29.38,28.75,8663033
2849,2012-12-03,SAMPLE,29.12,28.4,29.5,28.4,8080946
2850,2012-12-04,SAMPLE,28.1,29.4,29.88,29.4,10666173
2851,2012-12-05,SAMPLE,29.6,29.53,30.29,29.53,8745411
2852,2012-12-06,SAMPLE,29.87,29.19,30.65,29.19,8233377
2853,2012-12-07,SAMPLE,29.71,29.51,29.95,29.51,6176288
2854,2012-12-10,SAMPLE,29.55,30.86,31.22,30.86,8728502
2855,2012-12-11,SAMPLE,31.15,31.96,32.05,31.96,8527694
2856,2012-12-12,SAMPLE,32.25,32.12,33.08,32.12,8356785
2857,2012-12-13,SAMPLE,32.1,32.29,33.08,32.29,6590186
2858,2012-12-14,SAMPLE,32.68,33.96,34.47,33.96,12097952
2859,2012-12-17,SAMPLE,34.33,33.92,34.7,33.92,7970384
2860,2012-12-18,SAMPLE,34.05,35.32,35.37,35.32,11927706
2861,2012-12-19,SAMPLE,35.3,35.85,36.63,35.85,10658340
